ranker,params,ap,ndcg
bm25,"k1=0.4, b=0.6",0.8531481481481481,0.8387664821400181
bm25,"k1=0.4, b=0.65",0.9009920634920635,0.8325256204806606
bm25,"k1=0.4, b=0.7000000000000001",0.8500176366843033,0.8376728234346777
bm25,"k1=0.4, b=0.7500000000000001",0.8522398589065255,0.8383037082774037
bm25,"k1=0.4, b=0.8000000000000002",0.9059712773998488,0.83492994946415
bm25,"k1=0.4, b=0.8500000000000002",0.8472222222222221,0.840891692079864
bm25,"k1=0.4, b=0.9000000000000002",0.8987670068027211,0.8379122520369393
bm25,"k1=0.6000000000000001, b=0.6",0.846005291005291,0.8351228320147653
bm25,"k1=0.6000000000000001, b=0.65",0.8999716553287982,0.8317274230138884
bm25,"k1=0.6000000000000001, b=0.7000000000000001",0.8555731922398588,0.8294355938642759
bm25,"k1=0.6000000000000001, b=0.7500000000000001",0.8555731922398588,0.8294355938642759
bm25,"k1=0.6000000000000001, b=0.8000000000000002",0.9030801209372638,0.8282928979041208
bm25,"k1=0.6000000000000001, b=0.8500000000000002",0.8493650793650793,0.8319056486398417
bm25,"k1=0.6000000000000001, b=0.9000000000000002",0.9065051020408165,0.8307319774897904
bm25,"k1=0.8000000000000002, b=0.6",0.8515608465608466,0.8268856024443636
bm25,"k1=0.8000000000000002, b=0.65",0.9035430839002269,0.8230706705944876
bm25,"k1=0.8000000000000002, b=0.7000000000000001",0.8527954144620812,0.8286651298070322
bm25,"k1=0.8000000000000002, b=0.7500000000000001",0.8527954144620812,0.8286651298070322
bm25,"k1=0.8000000000000002, b=0.8000000000000002",0.9042989417989418,0.8244545235081878
bm25,"k1=0.8000000000000002, b=0.8500000000000002",0.8665079365079364,0.8238551463908157
bm25,"k1=0.8000000000000002, b=0.9000000000000002",0.9248724489795919,0.8226814752407644
bm25,"k1=1.0000000000000002, b=0.6",0.8499735449735449,0.8264444294077412
bm25,"k1=1.0000000000000002, b=0.65",0.9022675736961452,0.8227413795738663
bm25,"k1=1.0000000000000002, b=0.7000000000000001",0.8518694885361552,0.8284078962708104
bm25,"k1=1.0000000000000002, b=0.7500000000000001",0.8654938271604938,0.8232868634477271
bm25,"k1=1.0000000000000002, b=0.8000000000000002",0.9201719576719576,0.8199131046344734
bm25,"k1=1.0000000000000002, b=0.8500000000000002",0.863174603174603,0.822250954969842
bm25,"k1=1.0000000000000002, b=0.9000000000000002",0.9213010204081632,0.8210772838197907
bm25,"k1=1.2000000000000002, b=0.6",0.8487830687830688,0.8261151383871199
bm25,"k1=1.2000000000000002, b=0.65",0.9,0.8219045320882754
bm25,"k1=1.2000000000000002, b=0.7000000000000001",0.8654938271604938,0.8232868634477271
bm25,"k1=1.2000000000000002, b=0.7500000000000001",0.8621604938271604,0.8216826720267534
bm25,"k1=1.2000000000000002, b=0.8000000000000002",0.9166005291005291,0.8183089132134997
bm25,"k1=1.2000000000000002, b=0.8500000000000002",0.863174603174603,0.822250954969842
bm25,"k1=1.2000000000000002, b=0.9000000000000002",0.907015306122449,0.8036600504661391
bm25,"k1=1.4000000000000004, b=0.6",0.8445238095238093,0.8236203636333976
bm25,"k1=1.4000000000000004, b=0.65",0.915873015873016,0.8173631132145611
bm25,"k1=1.4000000000000004, b=0.7000000000000001",0.8621604938271604,0.8216826720267534
bm25,"k1=1.4000000000000004, b=0.7500000000000001",0.8621604938271604,0.8216826720267534
bm25,"k1=1.4000000000000004, b=0.8000000000000002",0.9156084656084655,0.8178561339498612
bm25,"k1=1.4000000000000004, b=0.8500000000000002",0.8748412698412698,0.8127903155304383
bm25,"k1=1.4000000000000004, b=0.9000000000000002",0.9179280045351474,0.7935615572325846
bm25,"k1=1.6000000000000005, b=0.6",0.858148148148148,0.8184993308103146
bm25,"k1=1.6000000000000005, b=0.65",0.9148809523809524,0.8169103339509224
bm25,"k1=1.6000000000000005, b=0.7000000000000001",0.8612345679012345,0.8212298927631149
bm25,"k1=1.6000000000000005, b=0.7500000000000001",0.8760493827160493,0.8132361438775104
bm25,"k1=1.6000000000000005, b=0.8000000000000002",0.929100529100529,0.8088482737740961
bm25,"k1=1.6000000000000005, b=0.8500000000000002",0.860026455026455,0.7947352283826361
bm25,"k1=1.6000000000000005, b=0.9000000000000002",0.8635629251700679,0.7710053020798742
bm25,"k1=1.8000000000000003, b=0.6",0.8572222222222222,0.8180465515466759
bm25,"k1=1.8000000000000003, b=0.65",0.910515873015873,0.8149403686407714
bm25,"k1=1.8000000000000003, b=0.7000000000000001",0.8760493827160493,0.8132361438775104
bm25,"k1=1.8000000000000003, b=0.7500000000000001",0.8760493827160493,0.8132361438775104
bm25,"k1=1.8000000000000003, b=0.8000000000000002",0.9154950869236583,0.7917359912948626
bm25,"k1=1.8000000000000003, b=0.8500000000000002",0.8592857142857142,0.7944011954521477
bm25,"k1=1.8000000000000003, b=0.9000000000000002",0.8623724489795919,0.739434580901717
